ID,meaning,semantic tag,Etymon ID,Etymon,pS root,Part of Speech,language,script,transliteration,Sem normalization,IPA singular,gender,f markedness,pS pattern,Sem normalization pl,IPA plural,pS plural pattern,PS plural suffix,deptotic,"Tag (popularity) insert word. rate, archaic, wanderwort, borrowed. ambiguous. no derivation [for primary nouns] primary nouns [divide with commas], deptotic",Donor language (in cases of borrowing),Donor word (in the original language),data source,Notes
ETYMON48,,,,siʔa,,pronoun,Proto-Semitic,,,,,,,,,,,,,,,,,
PN32,"3sg pronoun, nom, mp",,,,,pronoun,Akkadian,,,,,,,,,,,,,,,,,
PN33,"3sg pronoun, nom, mp",,,,,pronoun,Syriac,,,,,,,,,,,,,,,,,
PN34,"3sg pronoun, nom, mp",,,,,pronoun,Ethiopic,,,,,,,,,,,,,,,,,
PN35,"3sg pronoun, nom, mp",,,,,pronoun,Hebrew,,,,,,,,,,,,,,,,,
PN36,"3sg pronoun, nom, mp",,,,,pronoun,Arabic,,,,,,,,,,,,,,,,,
ETYMON49,,,,,,,,,,,,,,,,,,,,,,,,
PN37,"3sg pronoun, nom, fp",,,,,pronoun,Akkadian,,,,,,,,,,,,,,,,,
PN38,"3sg pronoun, nom, fp",,,,,pronoun,Syriac,,,,,,,,,,,,,,,,,
PN39,"3sg pronoun, nom, fp",,,,,pronoun,Ethiopic,,,,,,,,,,,,,,,,,
PN40,"3sg pronoun, nom, fp",,,,,pronoun,Hebrew,,,,,,,,,,,,,,,,,
PN41,"3sg pronoun, nom, fp",,,,,pronoun,Arabic,,,,,,,,,,,,,,,,,
ETYMON50,,,,,,,,,,,,,,,,,,,,,,,,
,add: poss and obj,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
N133,leg/foot,"BP_LE, BP_FT",ETYMON51,,,noun,Akkadian,,,šēp,ʃe:p,F,FALSE,qil? or qīl?,"šēpēt, šēpāt","ʃe:pe:t, ʃe:pa:t",same,a:t,,,,,,
N134,leg/foot,"BP_LE, BP_FT",ETYMON52,,,noun,Syriac,ܪܓܠ,rgl,rgel,rgel,F,FALSE,,reglē,regle:,same,*u:,,,,,,
N135,leg/foot,"BP_LE, BP_FT",ETYMON52,,,noun,Ethiopic,እግር,ʼəgərə,ʼəgr,ʔɨgr,,FALSE,*qutl/qitl,"ʼəgar, ʼaʼgār","ʔɨgar, ʔaʔga:r","qi/utal, ʔaqta:l",,,,,,,
N136,leg/foot,"BP_LE, BP_FT",ETYMON52,,,noun,Hebrew,רגל,rgl,regel,regel,F,FALSE,*qatl,rĕgālīm,rəga:li:m,qatal,*u:,,,,,,
N137,leg/foot,"BP_LE, BP_FT",ETYMON52,,,noun,Arabic,رجل,rǧl,riǧl,rid͡ʒl,F,FALSE,*qitl,ʼarǧul,ʔard͡ʒul,*ʔaqtul,,,,,,,
ETYMON51,,"BP_LE, BP_FT",,ɬapˤ-,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON52,,"BP_LE, BP_FT",,rigl,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N138,horn,BP_HO,ETYMON53,,,noun,Akkadian,,,qarn,k'arn,F,FALSE,qatl,"qarnū, qarnāt, qarnān","k'arnu:, k'arna:t, k'arna:n",same,"u:, a:t, a:n",,,,,,
N139,horn,BP_HO,ETYMON53,,,noun,Syriac,ܩܪܢ,qrn,qren,qren,F,FALSE,qatl,qarnē,qarne:,same,u:,,,,,,
N140,horn,BP_HO,ETYMON53,,,noun,Ethiopic,ቀርን,qarənə,qarn,k’arn,,FALSE,qatl,ʼaqrənt,ʔak’rɨnt,*ʔaqtult/ʔaqtilt,,,,,,,
N141,horn,BP_HO,ETYMON53,,,noun,Hebrew,קרן,qrn,qeren,k'eren,F,FALSE,qatl,qĕrānōt,qəra:no:t,*qatal,*a:t,,,,,,
N142,horn,BP_HO,ETYMON53,,,noun,Arabic,قرن,qrn,qarn,qarn,M,FALSE,qatl,qurūn,quru:n,*qutu:l,,,,,,,
ETYMON53,,BP_HO,,k’arn-,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
PN42,this,,ETYMON54,,,pronoun,Akkadian,,,annû,annu:,M,FALSE,qatil,annûti,annu:ti,same,-ti?,,,,,,
PN43,this,,ETYMON54,,,pronoun,Syriac,ܗܢܐ,hnʼ,hānā,ha:na:,,,,,,,,,,,,,
PN44,this,,ETYMON55,,,pronoun,Ethiopic,ዝ,zə,zə,zɨ,,,,,,,,,,,,,
PN45,this,,ETYMON55,,,pronoun,Hebrew,זה,zh,zê,ze,M,TRUE,,,,,,,,,,,
PN46,this,,ETYMON55,,,pronoun,Arabic,هذا,hḏʼ,hāḏā,ha:ða:,,,,,,,,,,,,,
ETYMON54,,,,hannij-,,pronoun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON55,,,,ða:,,pronoun,Proto-Semitic,,,,,,,,,,,,,,,,,
N143,fish,AN_FI,ETYMON56,,,noun,Akkadian,,,nūnum,nu:num,M,FALSE,qūl,only logographic,,,,,,,,,
N144,fish,AN_FI,ETYMON56,,,noun,Syriac,ܢܘܢ,nwn,nun,nun,M,FALSE,,nunē,nune:,same,*u:,,,,,,
N145,fish,AN_FI,,,,noun,Ethiopic,ዓሣ,ˤāśā,ˤāśā,ʕa:ɬa:,,,,,,,,,,,,,
N146,fish,AN_FI,ETYMON57,,,noun,Hebrew,דג,dg,dāg,da:g,M,FALSE,*qal,dāgîm,da:gi:m,same,*u:,,,,,,
N147,fish,AN_FI,,,,noun,Arabic,سمك,smk,samak,samak,M,FALSE,*qatal,"simāk, ʼasmāk","sima:k, ʔasma:k","*qita:l, ʔaqta:l",,,,,,,
ETYMON56,,AN_FI,,nu:n,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON57,,AN_FI,,dag,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
AV1,yesterday,TI_YD,ETYMON58,,,adverb,Akkadian,,,amšāli,amʃa:li,,,,,,,,,,,,,
